,"Qty","Value","Device","Package","Parts","PROD_ID"
,"1","ATMEGA328P_TQFP","ATMEGA328P_TQFP","TQFP32-08","U3","ATMEGA328P-AURCT-ND"
,"4","10uf","CAP0603","0603","C1, C2, C4, C6",
,"2","33uf","CAP0603","0603","C3, C5","490-10476-1-ND (22uf)"
,"2","10uf","CAP0805","0805","C7, C8","1276-6455-1-ND, 478-9266-1-ND (TANT)"
,"1","COAXUFL","COAXUFL","CONNECTOR_UFL","J1","WM5587CT-ND"
,"2","DIODE_NET_CA_5-SMF05C","DIODE_NET_CA_5-SMF05C","SOT-363","D1, D3","SMF05CT2GOSCT-ND"
,"1","BLUE","LED0603","CHIPLED_0603","D2",
,"1","RED","LED0603","CHIPLED_0603","D4",
,"1","YELLOW","LED0603","CHIPLED_0603","D5",
,"1","RED","LED3MM","LED3MM","D7",
,"1","YELLOW","LED3MM","LED3MM","D6",
,"1","MCP73831_SOT23-5","MCP73831_SOT23-5","SOT23-5L","U2",
,"1","NPN_MMBT2222A","NPN_MMBT2222A","SOT23","Q1",
,"1","ANS","P1X02_0.1_F","P1X02_0.1_F","P3",
,"1","BAT","P1X02_0.1_F","P1X02_0.1_F","P10",
,"1","END","P1X02_0.1_F","P1X02_0.1_F","P4",
,"1","MIC","P1X02_0.1_F","P1X02_0.1_F","P11",
,"1","VIN","P1X02_0.1_F","P1X02_0.1_F","P8",
,"1","RST","P1X02_0.1_M","P1X02_0.1_M","P9",
,"1","SPK","P1X02_0.1_M","P1X02_0.1_M","P6",
,"1","MAG","P1X03_0.1_F","P1X03_0.1_F","P7",
,"1",,"P1X09_0.1_M","P1X09_0.1_M","P5",
,"1",,"P1X14FFC_14POS_0.5MM","FFC_14POS_0.5MM_1734592","J3","A100284CT-ND "
,"1","PNP_MMBT3906_SOT23","PNP_MMBT3906_SOT23","SOT23","Q2","MMBT3906LT1GOSCT-ND"
,"2","10k","RES0603","0603","R8, R10","311-10.0KHRCT-ND"
,"6","1k","RES0603","0603","R3, R4, R5, R6, R7, R9",
,"1","2k","RES0603","0603","R1","311-2.00KHRCT-ND"
,"1","470","RES0603","0603","R2","311-470GRCT-ND"
,"1","16MHz","RESONATOR_CSTCE_V13C","CSTCE_V13C","Y1",
,"1","SIM_CARD","SIM_CARD","SIM_STANDARD_CLAMSHELL","J2","609-1401-1-ND"
,"1","SIM800L","SIM800L","SIM800HL","U1",
,"2","SWITCH_SPST_MOM_SMD_4MM","SWITCH_SPST_MOM_SMD_4MM","SWITCH_SPST_TACTILE_SMD","S1, S2",
,"1","USB_MICRO_B_SPARKFUN","USB_MICRO_B_SPARKFUN","USB-MICROB","J4",
